word,pinyin,freq
无论如何,wu lun ru he2,4.39
不好意思,bu ha4o yi si,4.21
文章经济,wen zha2ng jing ji,4.14
不可思议,bu ke4 si yi,4.12
前所未有,qia2n suo wei you,4.03
实事求是,shi shi qiu2 shi,4.02
理所当然,li suo da3ng ran,4.01
无能为力,wu ne2ng wei li,3.98
胡说八道,hu shuo ba2 dao,3.97
一模一样,yi mo yi ya1ng,3.96
成千上万,cheng qia2n shang wan,3.95
众所周知,zho4ng suo zhou zhi,3.93
显而易见,xia3n er yi jian,3.91
不知不觉,bu zhi bu jue4,3.91
难以置信,na2n yi zhi xin,3.88
独一无二,du yi wu e2r,3.88
不知所以,bu zhi suo4 yi,3.87
所作所为,suo3 zuo suo wei,3.81
与众不同,yu zho3ng bu tong,3.78
如此而已,ru ci e2r yi,3.78
好好先生,ha3o hao xian sheng,3.77
自我表现,zi wo bia4o xian,3.77
乱七八糟,lua4n qi ba zao,3.76
全心全意,qua2n xin quan yi,3.76
独立自主,du li2 zi zhu,3.76
一无所有,yi wu suo1 you,3.75
一无所知,yi wu suo1 zhi,3.74
引人注目,yin re3n zhu mu,3.74
自然而然,zi ra4n er ran,3.74
为所欲为,wei suo2 yu wei,3.73
莫名其妙,mo ming qi mia4o,3.73
道德文章,da4o de wen zhang,3.73
千方百计,qia1n fang bai ji,3.71
黄金世界,hua2ng jin shi jie,3.71
黄金时间,hua2ng jin shi jian,3.7
公平交易,gong ping jia1o yi,3.7
意想不到,yi xia4ng bu dao,3.68
截然不同,jie ra2n bu tong,3.68
花花公子,hua1 hua gong zi,3.68
自以为是,zi yi we4i shi,3.67
无关紧要,wu gua2n jin yao,3.67
迫不及待,po bu ji da4i,3.67
总而言之,zong er ya3n zhi,3.66
天下一家,tia1n xia yi jia,3.66
各式各样,ge shi ge ya4ng,3.66
无家可归,wu jia2 ke gui,3.65
史无前例,shi wu qia3n li,3.65
微不足道,wei bu zu da1o,3.65
随心所欲,sui xin suo2 yu,3.64
脱颖而出,tuo1 ying er chu,3.64
手无寸铁,sho3u wu cun tie,3.63
息息相关,xi xi xia1ng guan,3.62
一如既往,yi ru ji wa1ng,3.62
视而不见,shi er bu jia4n,3.61
突然袭击,tu ra1n xi ji,3.6
和而不同,he er bu to2ng,3.6
表面文章,bia3o mian wen zhang,3.6
小心翼翼,xia3o xin yi yi,3.6
取而代之,qu e da3i zhi,3.59
市民文学,shi min we4n xue,3.59
十字路口,shi zi lu ko2u,3.59
一举一动,yi ju yi do1ng,3.59
当务之急,da1ng wu zhi ji,3.59
大有作为,da4 you zuo wei,3.58
相提并论,xia1ng ti bing lun,3.57
独立王国,du li wa2ng guo,3.56
下落不明,xia4 luo bu ming,3.56
不知所措,bu zhi suo4 cuo,3.55
可想而知,ke xia3ng er zhi,3.55
层出不穷,ceng chu bu qio2ng,3.55
谢天谢地,xie tia4n xie di,3.55
公平合理,go1ng ping he li,3.54
诸如此类,zhu ru ci le1i,3.54
没完没了,mei wa2n mei liao,3.54
有所作为,yo3u suo zuo wei,3.54
革命反正,ge ming fa2n zheng,3.53
逍遥法外,xia1o yao fa wai,3.53
挺身而出,ting she3n er chu,3.53
大惊小怪,da4 jing xiao guai,3.53
一年一度,yi nia1n yi du,3.53
名列前茅,ming lie qia2n mao,3.52
轻而易举,qing e1r yi ju,3.52
原来如此,yua2n lai ru ci,3.52
肆无忌惮,si wu ji da4n,3.52
根深蒂固,ge1n shen di gu,3.52
不切实际,bu qie4 shi ji,3.51
无济于事,wu ji2 yu shi,3.51
自我牺牲,zi wo4 xi sheng,3.51
马上房子,ma3 shang fang zi,3.51
不得不尔,bu de4 bu er,3.5
全力以赴,qua2n li yi fu,3.5
讨价还价,ta3o jia huan jia,3.5
不顾一切,bu gu yi qie4,3.49
大人先生,da4 ren xian sheng,3.49
大吃一惊,da4 chi yi jing,3.49
罪魁祸首,zui kui huo4 shou,3.49
供不应求,go1ng bu ying qiu,3.49
突如其来,tu ru qi la1i,3.48
举足轻重,ju zu qing zho3ng,3.48
不可教训,bu ke jia4o xun,3.48
从头到尾,cong tou da2o wei,3.48
无动于衷,wu do2ng yu zhong,3.48
大有人在,da4 you ren zai,3.48
想方设法,xia3ng fang she fa,3.47
不遗余力,bu yi4 yu li,3.47
错综复杂,cuo zong fu za4,3.47
自言自语,zi ya4n zi yu,3.47
天下第一,tia1n xia di yi,3.47
轰轰烈烈,ho1ng hong lie lie,3.47
有朝一日,you zha3o yi ri,3.47
经济之才,jing ji zhi ca1i,3.46
至高无上,zhi ga4o wu shang,3.45
日许多时,ri xu duo4 shi,3.45
归根结底,gui ge1n jie di,3.44
无法无天,wu fa2 wu tian,3.44
无缘无故,wu yua2n wu gu,3.44
习以为常,xi yi wei cha2ng,3.44
坚定不移,jia1n ding bu yi,3.44
出乎意料,chu hu yi lia1o,3.44
不以为然,bu yi wei ra4n,3.44
当之无愧,da1ng zhi wu kui,3.44
便宜从事,bia2n yu cong shi,3.43
无与伦比,wu yu lun bi2,3.43
一席之地,yi1 xi zhi di,3.43
三位一体,sa1n wei yi ti,3.43
小时了了,xia3o shi liao liao,3.43
别有用心,bie yo2u yong xin,3.43
不择手段,bu ze shou dua4n,3.43
光天化日,gua1ng tian hua ri,3.43
果然如此,guo ra3n ru ci,3.43
毛骨悚然,ma2o gu song ran,3.43
拨乱反正,bo lua1n fan zheng,3.43
随时随地,sui2 shi sui di,3.43
新陈代谢,xin chen da1i xie,3.42
一塌糊涂,yi ta1 hu tu,3.42
心甘情愿,xin ga1n qing yuan,3.42
无所事事,wu suo2 shi shi,3.42
自始至终,zi shi zhi zho4ng,3.41
胡思乱想,hu si lua2n xiang,3.41
出人意料,chu ren yi lia1o,3.41
自给自足,zi4 ji zi zu,3.41
呼吸之间,hu xi zhi jia1n,3.41
深思熟虑,she1n si shu lv,3.41
东西南北,dong xi na1n bei,3.4
彼此彼此,bi3 ci bi ci,3.4
一成不变,yi cheng bu bia1n,3.4
脚踏实地,jia3o ta shi di,3.39
情不自禁,qi2ng bu zi jin,3.39
游戏人间,you xi ren jia2n,3.39
理直气壮,li zhi qi zhua3ng,3.39
十年读书,shi nia2n du shu,3.39
袖手旁观,xiu shou pa4ng guan,3.39
一帆风顺,yi fa1n feng shun,3.39
梦寐以求,me4ng mei yi qiu,3.38
百年之后,ba3i nian zhi hou,3.38
竭尽全力,jie jin qua2n li,3.37
何去何从,he qu he co2ng,3.37
日复一日,ri4 fu yi ri,3.37
一清二楚,yi qing e1r chu,3.37
聪明智慧,co1ng ming zhi hui,3.37
胡言乱语,hu ya2n luan yu,3.37
似曾相识,si ceng xia4ng shi,3.37
名副其实,mi2ng fu qi shi,3.37
混为一谈,hun wei yi ta4n,3.36
坚持不懈,jia1n chi bu xie,3.36
四面八方,si mia4n ba fang,3.36
日新月异,ri xin yue4 yi,3.36
支离破碎,zhi li po1 sui,3.36
因地制宜,yi1n di zhi yi,3.36
束手无策,shu sho4u wu ce,3.36
一视同仁,yi shi to1ng ren,3.36
忍无可忍,re3n wu ke ren,3.35
应有尽有,ying yo1u jin you,3.35
轻描淡写,qing mia1o dan xie,3.35
来龙去脉,la2i long qu mai,3.35
心中无数,xin zho1ng wu shu,3.35
自力更生,zi li ge4ng sheng,3.35
不由自主,bu yo4u zi zhu,3.34
直接了当,zhi jie lia2o dang,3.34
推波助澜,tui bo zhu la1n,3.34
事不过三,shi bu guo sa4n,3.34
一目了然,yi mu lia1o ran,3.34
阿弥陀佛,e mi tuo1 fo,3.34
大错特错,da4 cuo te cuo,3.34
